,Unnamed: 0,평점,날짜,제목,내용
10,10,5,20.11.18.,년 째 닥터지 그림마일드업 선만 사용해요 몇 통을 쓴건지 엄마랑 언니도 제 추천으로 같이 쓰고 있어요 심지어 잘라서 바닥까지 엄마는 쓰고 계셨어요 ㅎㅎ 항상 면세점에서 사다,년 째 닥터지 그림마일드업 선만 사용해요 몇 통을 쓴건지 엄마랑 언니도 제 추천으로 같이 쓰고 있어요 심지어 잘라서 바닥까지 엄마는 쓰고 계셨어요 ㅎㅎ 항상 면세점에서 사다가 이번에 처음 원쁠원으로 싸게 사게됐는데 너무 좋아요 샘플도 챙겨주고 감사해요 파운데이션도 안 바르고 선크림만 바르고 요샌 다니는데 적당히 백탁도 있고 커버도 해줘서 너무 만족만족합니당 건조하지도 않고 불필요한 유분도 제거해주고 최고에용
11,11,5,21.05.15.,리코님 뷰티다이어리때 샀는데 쓰시던거 샘플로 같이 와서 마음이 풍족해집니다ㅎㅎ선크림은 믿고 쓰는 닥터지라 구매했어요무기자차는 백탁때문에 꺼려지는데 백탁도 없고 촉촉하게 흡수되서 좋,리코님 뷰티다이어리때 샀는데 쓰시던거 샘플로 같이 와서 마음이 풍족해집니다ㅎㅎ선크림은 믿고 쓰는 닥터지라 구매했어요무기자차는 백탁때문에 꺼려지는데 백탁도 없고 촉촉하게 흡수되서 좋습니다요즘 유기자차 말이 많아서 쓰기 좀 그런데 촉촉하게 백탁없이 발리는 무기자차라 선택했습니다
12,12,5,피엠제이.,예민성 민감성 피부입니다존과 두피 경계선은 여드름범벅이고 양 볼에는 기미와 주근깨와 각질이 함께하는 복합성 피부입니다조금이라도 번들거리면 순식간에 기름지기 때문에 선크림 맞는거,예민성 민감성 피부입니다존과 두피 경계선은 여드름범벅이고 양 볼에는 기미와 주근깨와 각질이 함께하는 복합성 피부입니다조금이라도 번들거리면 순식간에 기름지기 때문에 선크림 맞는거 한번 사면 계속 씁니다지인 추천받아서 한통 사서썼고 이번에 통 샀습니다하나는 집에 하나는 회사에 두려구요
13,13,5,21.05.06., 으로 저렴하게 득템했네요원래 브라이트닝 업 썬 제품으로 오랫동안 잘 사용중인데샘플 사용해보니 이 제품도 괜찮아서 구매했습니다이 제품이 좀 더 촉촉하고 발림성이 부드러워, 으로 저렴하게 득템했네요원래 브라이트닝 업 썬 제품으로 오랫동안 잘 사용중인데샘플 사용해보니 이 제품도 괜찮아서 구매했습니다이 제품이 좀 더 촉촉하고 발림성이 부드러워요자차 특유의 끈적임이나 오일리함은 별로 없습니다 인데 샘플도 몇 개 챙겨주셨네요 ㅎㅎ잘 사용하겠습니다
14,14,5,피엠제이.,애정하는 선크림입니다 그린은 좀 건조해서 여름철 가까워질때 사용하고 가을 겨울엔 모이스쳐 기능있는 분홍색을 씁니다 남편과 아이들은 그린을 선호하구요 건조한 피부이신 분들은,애정하는 선크림입니다 그린은 좀 건조해서 여름철 가까워질때 사용하고 가을 겨울엔 모이스쳐 기능있는 분홍색을 씁니다 남편과 아이들은 그린을 선호하구요 건조한 피부이신 분들은 많이 땡기실 수 있어요 여름맞이하며 구매했어요
15,15,5,21.06.01.,남자친구가 선크림이 조금만 오일리해도 간지럽고 트러블 올라온다고 고민하길래 선물해줬어요 닥터지 선크림 만나고 새로운 세상이 열렸다고 엄청 좋아합니다 간지러움 뾰루지 등등 없이,남자친구가 선크림이 조금만 오일리해도 간지럽고 트러블 올라온다고 고민하길래 선물해줬어요 닥터지 선크림 만나고 새로운 세상이 열렸다고 엄청 좋아합니다 간지러움 뾰루지 등등 없이 굉장히 쾌적하게 잘 사용했고 자외선 차단 기능도 짱짱해서 완전 감동 받았대요
16,16,5,21.05.11.,대 지성 여드름 있는 피부입니다백탁현상 조금 있고 발림성은 좋아요근데 다 바르고 나면 기름져요선크림 바르고 파데 위에 올릴때 잘발라야할거같아요 잘못하면 파데떠요에스티로더 파데,대 지성 여드름 있는 피부입니다백탁현상 조금 있고 발림성은 좋아요근데 다 바르고 나면 기름져요선크림 바르고 파데 위에 올릴때 잘발라야할거같아요 잘못하면 파데떠요에스티로더 파데 쓰는데 선크림 때문인지 시간 지나면 번들번들 해지는게 느껴져요ㅠ여드름이 올라오는 건 모르겠는데 선크림 안바를순없으니까 바르는데좋긴 좋아요 쓸만합니다
17,17,5,21.04.08.,자극없이 촉촉하고 가볍게 발려서 매일,자극없이 촉촉하고 가볍게 발려서 매일 사용하기 좋아요 무기자차라서 바를땐 살짝 백탁이 있는데 살짝 톤업되는 정도이고 흡수되고 나면 매트해서 끈적이거나 답답하지 않아요 크기가 작아 휴대하면서 덧발라주기 편해요 워터 클렌저 만으로도 잘 씻겨서 여러개 째 사용하고 있어요
18,18,5,21.05.04.,썬크림은 어느새 온가족이 닥터지만 쓰고 있네요ㅎㅎ아직 쟁여놓은 새제품이 개 있지만 곧 여름이라 금방 쓸거 같아 이번 기회에 더 구입했어요 브랜드 세일 덕분에 저렴한 가격에 필요,썬크림은 어느새 온가족이 닥터지만 쓰고 있네요ㅎㅎ아직 쟁여놓은 새제품이 개 있지만 곧 여름이라 금방 쓸거 같아 이번 기회에 더 구입했어요 브랜드 세일 덕분에 저렴한 가격에 필요한 제품들을 알뜰하게 산것 같아 기분이 좋네요ㅎㅎ
19,19,4,21.04.06.,닥터지에서 좋은 행사를 하기에 전에,닥터지에서 좋은 행사를 하기에 전에 받았던 샘플로 써서 좋았던 기억이 있는걸들로 주문했어요 배송은 일걸렸구요 친환경종이포장에 잘 왔어요다만 이전행사때 주문시는 사은외에 샘플지들을 이것저것 더챙겨 주셔서 감동이기도 하구 새제품 체험기회가되서 좋았는데 이번은 여러개샀는데도 패치 하나도 없어 좀 섭했어요
20,20,5,21.05.27.,쿠팡에서 미리씩 주문해서 쓰는데 확실히 작은 용량은 너무 적어서 금새 쓰네요ㅋ 제가 손가락 두마디씩 꽉 짜서 바르기도 하지만요ㅋㅋ 무기자차중에 가격대비 촉촉하고 백탁도 이정,쿠팡에서 미리씩 주문해서 쓰는데 확실히 작은 용량은 너무 적어서 금새 쓰네요ㅋ 제가 손가락 두마디씩 꽉 짜서 바르기도 하지만요ㅋㅋ 무기자차중에 가격대비 촉촉하고 백탁도 이정도면 거의 없는편이라 좋은 제품이라고 싱각해요ㅋ
21,21,2,21.05.17.,건성이 쓰기에는 너무 너무 건조하고 화장 엄청나게 떠요 ㅠ 자외선차단이 잘 된다면 좋지만  화장 지우려고 얼굴에 물뿌리면 피부가 진짜 뻣뻣한게 느껴져요바르고나서 트러블 나,건성이 쓰기에는 너무 너무 건조하고 화장 엄청나게 떠요 ㅠ 자외선차단이 잘 된다면 좋지만  화장 지우려고 얼굴에 물뿌리면 피부가 진짜 뻣뻣한게 느껴져요바르고나서 트러블 나지는 않았어요 복합지성 분들이 쓰면 정말정말 잘 맞을거같아요
22,22,5,20.12.18.,몇 년 째 쓰고 있는 선크림 백탁도 적당해서 마스크써야하는 요즘 파데 없이 잘 쓰고 있어요 보통 선크림들 누우면 눈 엄청 시린데 이 선크림은 눈시림 현상도 없어서 좋아요 제,몇 년 째 쓰고 있는 선크림 백탁도 적당해서 마스크써야하는 요즘 파데 없이 잘쓰고 있어요 보통 선크림들 누우면 눈 엄청 시린데 이 선크림은 눈시림 현상도 없어서 좋아요 제 추천으로 엄마 언니 친구까지 같이 쓰고 있어요 안그래도 선크림 떨어져서 통 잘라서 자린고비느낌으로 쓰고 있었는데 원쁠원 때 싸게 건쟈서 뿌듯하네용 무기와 유기의 장점만 모아놓은 선크림이에요 진짜 스킨케어나 파데 베이스 유목민인 제가 유일하게 정착한 선크림 샘플도 주신 거 써볼게요 감사해용
23,23,5,21.05.30.,발랐을때 끈적임이 가장 적은 제품으로 유명해서 구입했는데 타 제품에 비해 끈적임이 적긴하지만 현저한 차이는 아닙니다 결국 크림의 끈끈함과 답답함은 어느정도 감안하셔야합니다 그래,발랐을때 끈적임이 가장 적은 제품으로 유명해서 구입했는데 타 제품에 비해 끈적임이 적긴하지만 현저한 차이는 아닙니다 결국 크림의 끈끈함과 답답함은 어느정도 감안하셔야합니다 그래도 여타의 제품보단 만족도가 높고 백탁도 자연스러운편입니다
24,24,5,21.05.24.,착붙메이크업에 딱맞는 짝궁 선크림 찾은 거 같아요  바를땐 발림성이 부드럽고 톤은 적당하게 올려주고 바르고 나서도 보니까 메이크업 꽉 잡아줘서 번들거림이나 무너짐도 없,착붙메이크업에 딱맞는 짝궁 선크림 찾은 거 같아요  바를땐 발림성이 부드럽고 톤은 적당하게 올려주고 바르고 나서도 보니까 메이크업 꽉 잡아줘서 번들거림이나 무너짐도 없고 ㅎㅎ여름에 특히 더 좋은 것 같네요 보내주신 샘플에 다른 선크림이랑 새로나온 에센스도 써볼게요 감사합니다 
25,25,5,21.03.22.,최고예요,피부가 예민한 사춘기 딸아이와 잡티때문에 피부과를 다니는 내가 같이 사용하기위해 개 구매했어요제형이 로션같고 하얗지만 발림성이 좋고 색상은 살짝 톤업되는 정도입니다무엇보다 유해성분이 없고 무기자차 선크림이라 눈시림 없이 사용중입니다닥터 제품을 필링젤레드 블랑쉬크림도 사용중인데 정말 좋은 브랜드인 것 같아요가격까지 착해서 앞으로도 계속 사용하려구요
26,26,5,21.05.19.,지성트러블성 피부면 닥터지 선크림 만한게 없는거같아요 유분도 적게올라오고 파데 유지력도 높여주는거같고 다른선크림바르면 트러블 반응 오는데 이건 전혀 없구요 뽀얗게 톤업되는것도,지성트러블성 피부면 닥터지 선크림 만한게 없는거같아요 유분도 적게올라오고 파데 유지력도 높여주는거같고 다른선크림바르면 트러블 반응 오는데 이건 전혀 없구요 뽀얗게 톤업되는것도 맘에 들어요 모두모두 구매하세요
27,27,5,20.11.12.,썬크림 없으면 불안해서 나가지 못하,썬크림 없으면 불안해서 나가지 못하는데 이제품은 가벼운 편이라 ㅋㅋ 하나만 발라도 되요 톤업이랑 두가지 쓰는데 전 마일드가 좋으네요 썬크림 무거운제품 많은데 마일드 는 가벼운 편이라 바르면 흡수도 빠르고 좋네용 그리고 생각 지도 못한 샘플 까지 챙겨주셨어요 짱짱 필링젤까지 오오오오 나이스굿입니다 닥터지 요즘 남남넘넘 좋아요 이제 나이드니 ㅋㅋ 다좋네요 세일해서 좋은상품 좋은가격에 샀습니다 감사합ㄴ ㅣ다 강추
28,28,5,20.02.04.,선크림 인생 년 가성비 최고,선크림 인생 년 가성비 최고 인생 선크림인 닥터지 그린마일드 선크림을 만났습니다대 때부터 피부 가꾸기에 관심이 많았던 터라 친구들은 썬크림은 여름에 바닷가에나 놀러갈 때 바르는거 아니냐고 하던 시절부터 저는 수많은 선크림을 발라왔습니다학생 시절 저가 선크림의 백탁현상을 경험해보니 왜 비싼걸 쓰는지 깨달으며용돈 모아모아 고가 선크림계에 영접 백탁현상 거의 없이 혁신적이던 사 선크림에 정착했다가 나이 들어가면서 사로 갈아탔는데요달팽이크림으로 알게된 닥터지가 선크림도 좋다는 후기가 많아서 반신반의하며 장바구니에 담아뒀다 질러서 사용하게 되었네요우선 닥터지 그린마일드 선크림은 백탁현상이 아예 없는 것은 아니지만 약간 환해지는 정도이지 허여멀건 가부키나 밀가루반죽 느낌은 나지 않는답니다번들거림은 전혀 없고 흡수해주고나면 오히려 살짝 보송이는 느낌마저 드네요선크림은 쓰다보면 후반부에 유분기가 이상하리만큼 많아져서 번들거리기 일쑤인데 끝까지 써도 번들거리지가 않아요물론 그러기에 조금 촉촉함이 부족하고 저는 볼쪽이 조금 건조한 복합성인데 볼부분이 시간 지나면 조금 당기는 느낌은 듭니다그래도 가격도 부담스럽지 않고 기능 면으로도 좋아서 제 마음에 쏙 드네요 인생템 찾았습니다쿠폰이랑 이것저것 청구할인 등 적용해서 사면 더더욱 저렴해서 두 배 좋습니다 
29,29,5,21.05.01.,항상 닥터지를 이용해왔는데 이번에 할인 들어가길래 바로 질렀어요 ㅎㅎ 무기자차인 것도 너무 좋오 화해에 들어가서 보면 발암물질도 하나도 없더라구요 ㅎㅎ 자주 할인 해줬으면 좋겠어요,항상 닥터지를 이용해왔는데 이번에 할인 들어가길래 바로 질렀어요 ㅎㅎ 무기자차인 것도 너무 좋오 화해에 들어가서 보면 발암물질도 하나도 없더라구요 ㅎㅎ 자주 할인 해줬으면 좋겠어요 ㅠㅠㅠ 무조건 닥터지 선크림 쓰세요  두번쓰세요 
30,30,3,21.05.10.,ㅇㅇ  원래 쓰던 제품이 논란이 생겨서  ㅠㅠ 갈아탔는데요 워낙에 유명한 제품이라 믿고 샀습니당 근데 전에 쓰던거보다 좀 기름지네요 백탁도 심하진 않지만 어느,ㅇㅇ  원래 쓰던 제품이 논란이 생겨서  ㅠㅠ 갈아탔는데요 워낙에 유명한 제품이라 믿고 샀습니당 근데 전에 쓰던거보다 좀 기름지네요 백탁도 심하진 않지만 어느 정도 있고요화장 끝내고 꼭 손을 씻는데 전에 쓰던 선크림은 그냥 물로만 씻어도 됐다면 이건 꼭 클렌징폼이나 비누로 씻어야 기름기가 빠지네용 ㅎㅎ바르고 있으면 왠지 피부가 땡기는 느낌도 들어요 저한테는 그닥 잘 맞는 제품은 아닌것 같습니다 ㅠㅠ 다 쓰고 다시 선크림 유목민이 되어야겠네요  
31,31,5,20.09.23.,이전부터 써오던건데 플러스 신제품이 나와서 주문해봅니다 아직 차이점은 모르겠으나 여전히 타제품보다 좋아요 잠시 닥터올가를 썼었는데 순하긴하나 시간이 지나면 기름이 많이 떠서,이전부터 써오던건데 플러스 신제품이 나와서 주문해봅니다 아직 차이점은 모르겠으나 여전히 타제품보다 좋아요 잠시 닥터올가를 썼었는데 순하긴하나 시간이 지나면 기름이 많이 떠서 게다가 얼굴이 넘 하얗게 되서 결국 닥터지로 돌아오네요 단지 겨울엔 기초화장을 충분히해서 건조하지않게 하면 선크림중에 제일인 것같아요그리고 온라인 사이트에서 여기가 제일 저렴한것같아 아주 만족합니다
32,32,5,21.05.29.,오프에서 너무 비싸게 팔아서 검색끝에 사게 되었어요 백탁 적당하고요 발림도 좋고요 뭣보다 끈적거리지 않는게 최고 장점 같아요 여기 회사 제품 기초도 쓰는데 여드름 피부에 괜,오프에서 너무 비싸게 팔아서 검색끝에 사게 되었어요 백탁 적당하고요 발림도 좋고요 뭣보다 끈적거리지 않는게 최고 장점 같아요 여기 회사 제품 기초도 쓰는데 여드름 피부에 괜찮은것 같아서 하나씩 바꾸고 있어요 배송도 굿
33,33,4,20.12.22.,백탁 현상 적당한 무기자차 제품이라 민감성 피부인 저에게 적당하다고 생각해 꾸준히 사용 중이에요단점이라면 지금까지  정도의 확률로 달 정도 사용 후부터 제품 성분이 분리되,백탁 현상 적당한 무기자차 제품이라 민감성 피부인 저에게 적당하다고 생각해 꾸준히 사용 중이에요단점이라면 지금까지  정도의 확률로 달 정도 사용 후부터 제품 성분이 분리되는 그런 현상이 발생하네요 마치 물과 기름으로 나눠지는 것 같음 이거 때문에 끝까지 사용 못하고 버린 적이 두어번 있음
34,34,5,21.05.24.,톤업만 몇년을 사용해보다 그린 마일드 샘플을 써봤는데 생각보다 톤도 화사해지고 저한테 잘 맞을것 같아서 주문했습니다  배송도 빠르고 가격도 올영에 비해 저렴하게 잘 샀습니다 ,톤업만 몇년을 사용해보다 그린 마일드 샘플을 써봤는데 생각보다 톤도 화사해지고 저한테 잘 맞을것 같아서 주문했습니다  배송도 빠르고 가격도 올영에 비해 저렴하게 잘 샀습니다  오늘 바르고 외출했는데 너무 만족스러워요 앞으로 쭉 주문하게 될것같아요 
35,35,5,20.12.09.,파우치에 넣고 다녔더니 조금 더러워졌네요ㅎ개인적으로 유분기 있는 선크림시세이헤 쓰면 바로 트러블이 올라오는 편이라 무기자차를 찾아서 쓰고있어요백탁이 약간 있지만 감당할만,파우치에 넣고 다녔더니 조금 더러워졌네요ㅎ개인적으로 유분기 있는 선크림시세이헤 쓰면 바로 트러블이 올라오는 편이라 무기자차를 찾아서 쓰고있어요백탁이 약간 있지만 감당할만 하구요기초 잘하고 바르면 뻑뻑하다는 생각 안들었어요
36,36,5,20.11.23.,다른 선크림으로 부작용을 겪고 여러 제품을 찾아보다가 구입하게 되었습니다 백탁현상이나 발림성 등을 걱정했는데 백탁현상은 크게 없다고 보시면 될거 같고 당연히 약간의 무거움은 있을,다른 선크림으로 부작용을 겪고 여러 제품을 찾아보다가 구입하게 되었습니다 백탁현상이나 발림성 등을 걱정했는데 백탁현상은 크게 없다고 보시면 될거 같고 당연히 약간의 무거움은 있을 것이라 예상했는데 바르고나서 무게가 아주 가벼워요 촉촉하고 부드럽게 흡수가 잘됩니다 기존에 무기자차 선크림하면 사용감이 불편할거라는 편견이 있었는데 지성인 제 피부에도 딱히 번들거림이나 불편감이 전혀 없었어요 계속 사용해보고도 잘 맞으면 꾸준히 구입해서 사용하려고 합니다
37,37,5,20.09.08.,항상 쓰는 선크림이예요 닥터지 그린 마일드 업 선 사용한 이후로는 다른 선크림을 써 본적이 없어요 선크림 외에도 토너랑 필링 젤도 구입을 했는데 이렇게 샘플을 많이 챙겨주,항상 쓰는 선크림이예요 닥터지 그린 마일드 업 선 사용한 이후로는 다른 선크림을 써 본적이 없어요 선크림 외에도 토너랑 필링 젤도 구입을 했는데 이렇게 샘플을 많이 챙겨주시다니놀랬어요 닥터지 좋은 제품 만들어주시고 챙겨주시는 마음도 항상 감사합니다제가 주문한 제품들을 정말 꼼꼼하게 포장해주셨어요 받았을 때 정말 기분이 좋았어요 종이포장지에 싸져서 왔는데 닥터지는 환경도 생각하는 좋은 브랜드라는 걸 다시 한번 느끼게 되었습니당 잘 쓸께요
38,38,4,20.08.22.,전체적으로 바르면 전혀 끈적임없고 바로 흡수됩니다제 피부가 민감성인데 그래서 왠만하면 화장품을 바꾸지 않지만 리뷰가 넘 좋아서 구입해봤어요바르고나서 따끔 거림은 있지만 조금 지나면,전체적으로 바르면 전혀 끈적임없고 바로 흡수됩니다제 피부가 민감성인데 그래서 왠만하면 화장품을 바꾸지 않지만 리뷰가 넘 좋아서 구입해봤어요바르고나서 따끔 거림은 있지만 조금 지나면 사라지긴해요유분기가 적어서 그런지 트러블도 없지만 조금 매트한 느낌이 드네요
39,39,5,21.01.24.,제품이 리뉴얼된건지 전에 사서 썼을때보다 훨씬 묽어진거 같아요원래는 로션같은느낌이었는데 지금은 짤면 살짝 흘러내릴 정도로 묽어요 그리고 백탁현상도 이전보다 좀 심해진거같아요그래도,제품이 리뉴얼된건지 전에 사서 썼을때보다 훨씬 묽어진거 같아요원래는 로션같은느낌이었는데 지금은 짤면 살짝 흘러내릴 정도로 묽어요 그리고 백탁현상도 이전보다 좀 심해진거같아요그래도 출근전에 후다닥 펴바르고 다니기 좋아서 잘 쓰고있긴해요
40,40,4,21.02.23.,진짜 성능도 좋고 뻑뻑하지않고 로션처럼 발라져서 그 점은 매우 좋았는데 백탁이 조금만 더 있었으면 좋겠네요 ㅠㅠ 진짜 톤업이 아주 자세히 봐야 차이나는 정도였어요 톤업 기능기대하면,진짜 성능도 좋고 뻑뻑하지않고 로션처럼 발라져서 그 점은 매우 좋았는데 백탁이 조금만 더 있었으면 좋겠네요 ㅠㅠ 진짜 톤업이 아주 자세히 봐야 차이나는 정도였어요 톤업 기능기대하면 실망할수 있어요 근데 성능은 진짜 제일 좋네요ㅠㅠ 사진에는 백탁이 전혀 안보이고 실물로 보세요 진짜 살짝 있습니다
41,41,5,20.12.12.,백탁현상은 이거 하나만 발랐을 때는 없는 것 같아요 근데 이거 바르고 위에 화장하면 평소보다 하얗고 좀 뜨는 느낌 있어요 요즘은 마스크 때문에 화장을 잘 안 하니까 별 신경은,백탁현상은 이거 하나만 발랐을 때는 없는 것 같아요 근데 이거 바르고 위에 화장하면 평소보다 하얗고 좀 뜨는 느낌 있어요 요즘은 마스크 때문에 화장을 잘 안 하니까 별 신경은 안 쓰려고요ㅎㅎ 그리고 평소 건조함을 많이 느끼는 편인데 크게 건조하지는 않은 것 같습니당
